curve_id,key,value
fl-4.0-structure-214,comment,RES6 default
fl-4.0-structure-591,comment,IND3 Default
fl-4.0-structure-652,comment,EDU1 default
fl-4.0-structure-658,comment,RAMPP Inserted
fl-4.0-structure-659,comment,RAMPP Inserted
fl-4.0-structure-660,comment,RAMPP Inserted
fl-4.0-structure-661,comment,RAMPP Inserted
fl-4.0-structure-662,comment,RAMPP Inserted
fl-4.0-structure-663,comment,RAMPP Inserted
fl-4.0-structure-664,comment,RAMPP Inserted
fl-4.0-structure-665,comment,RAMPP Inserted
fl-4.0-structure-666,comment,RAMPP Inserted
fl-4.0-structure-667,comment,RAMPP Inserted
fl-4.0-structure-668,comment,RAMPP Inserted
fl-4.0-structure-669,comment,RAMPP Inserted
fl-4.0-structure-670,comment,RAMPP Inserted
fl-4.0-structure-671,comment,RAMPP Inserted
fl-4.0-structure-672,comment,RAMPP Inserted
fl-4.0-structure-673,comment,RAMPP Inserted
fl-4.0-structure-674,comment,RAMPP Inserted
fl-4.0-structure-675,comment,RAMPP Inserted
fl-4.0-structure-676,comment,RAMPP Inserted
fl-4.0-structure-677,comment,RAMPP Inserted
fl-4.0-structure-678,comment,RAMPP Inserted
fl-4.0-structure-679,comment,RAMPP Inserted
fl-4.0-structure-680,comment,RAMPP Inserted
fl-4.0-structure-681,comment,RAMPP Inserted
fl-4.0-structure-682,comment,RAMPP Inserted
fl-4.0-structure-683,comment,RAMPP Inserted
fl-4.0-structure-684,comment,RAMPP Inserted
fl-4.0-structure-685,comment,RAMPP Inserted
fl-4.0-structure-686,comment,RAMPP Inserted
fl-4.0-structure-687,comment,RAMPP Inserted
fl-4.0-structure-688,comment,RAMPP Inserted
fl-4.0-structure-689,comment,RAMPP Inserted
fl-4.0-structure-690,comment,RAMPP Inserted
fl-4.0-structure-691,comment,RAMPP Inserted
fl-4.0-structure-692,comment,RAMPP Inserted
fl-4.0-structure-693,comment,RAMPP Inserted
fl-4.0-structure-694,comment,RAMPP Inserted
fl-4.0-structure-695,comment,RAMPP Inserted
fl-4.0-structure-696,comment,RAMPP Inserted
fl-4.0-structure-697,comment,RAMPP Inserted
fl-4.0-structure-698,comment,RAMPP Inserted
fl-4.0-structure-699,comment,RAMPP Inserted
fl-4.0-structure-700,comment,RAMPP Inserted
fl-4.0-structure-701,comment,RAMPP Inserted
fl-4.0-structure-702,comment,RAMPP Inserted
fl-4.0-structure-703,comment,RAMPP Inserted
fl-4.0-structure-704,comment,RAMPP Inserted
fl-6.1-structure-107,hazus_default_flag,1.0
fl-6.1-structure-108,hazus_default_flag,1.0
fl-6.1-structure-109,hazus_default_flag,1.0
fl-6.1-structure-110,hazus_default_flag,1.0
fl-6.1-structure-111,hazus_default_flag,1.0
fl-6.1-structure-112,hazus_default_flag,1.0
fl-6.1-structure-114,hazus_default_flag,1.0
fl-6.1-structure-115,hazus_default_flag,1.0
fl-6.1-structure-116,hazus_default_flag,1.0
fl-6.1-structure-117,hazus_default_flag,1.0
fl-6.1-structure-118,hazus_default_flag,1.0
fl-6.1-structure-120,hazus_default_flag,1.0
fl-6.1-structure-129,hazus_default_flag,1.0
fl-6.1-structure-189,hazus_default_flag,1.0
fl-6.1-structure-190,hazus_default_flag,1.0
fl-6.1-structure-204,hazus_default_flag,1.0
fl-6.1-structure-205,hazus_default_flag,1.0
fl-6.1-structure-209,hazus_default_flag,1.0
fl-6.1-structure-214,hazus_default_flag,1.0
fl-6.1-structure-214,comment,RES6 default
fl-6.1-structure-215,hazus_default_flag,1.0
fl-6.1-structure-217,hazus_default_flag,1.0
fl-6.1-structure-341,hazus_default_flag,1.0
fl-6.1-structure-375,hazus_default_flag,1.0
fl-6.1-structure-431,hazus_default_flag,1.0
fl-6.1-structure-467,hazus_default_flag,1.0
fl-6.1-structure-474,hazus_default_flag,1.0
fl-6.1-structure-475,hazus_default_flag,1.0
fl-6.1-structure-493,hazus_default_flag,1.0
fl-6.1-structure-532,hazus_default_flag,1.0
fl-6.1-structure-543,hazus_default_flag,1.0
fl-6.1-structure-545,hazus_default_flag,1.0
fl-6.1-structure-559,hazus_default_flag,1.0
fl-6.1-structure-575,hazus_default_flag,1.0
fl-6.1-structure-586,hazus_default_flag,1.0
fl-6.1-structure-591,hazus_default_flag,1.0
fl-6.1-structure-591,comment,IND3 Default
fl-6.1-structure-592,hazus_default_flag,1.0
fl-6.1-structure-616,hazus_default_flag,1.0
fl-6.1-structure-624,hazus_default_flag,1.0
fl-6.1-structure-631,hazus_default_flag,1.0
fl-6.1-structure-640,hazus_default_flag,1.0
fl-6.1-structure-643,hazus_default_flag,1.0
fl-6.1-structure-652,hazus_default_flag,1.0
fl-6.1-structure-652,comment,EDU1 default
fl-6.1-structure-658,hazus_default_flag,1.0
fl-6.1-structure-658,comment,RAMPP Inserted
fl-6.1-structure-659,hazus_default_flag,1.0
fl-6.1-structure-659,comment,RAMPP Inserted
fl-6.1-structure-660,hazus_default_flag,1.0
fl-6.1-structure-660,comment,RAMPP Inserted
fl-6.1-structure-661,comment,RAMPP Inserted
fl-6.1-structure-662,comment,RAMPP Inserted
fl-6.1-structure-663,comment,RAMPP Inserted
fl-6.1-structure-664,comment,RAMPP Inserted
fl-6.1-structure-665,comment,RAMPP Inserted
fl-6.1-structure-666,comment,RAMPP Inserted
fl-6.1-structure-667,hazus_default_flag,1.0
fl-6.1-structure-667,comment,RAMPP Inserted
fl-6.1-structure-668,comment,RAMPP Inserted
fl-6.1-structure-669,comment,RAMPP Inserted
fl-6.1-structure-670,comment,RAMPP Inserted
fl-6.1-structure-671,comment,RAMPP Inserted
fl-6.1-structure-672,comment,RAMPP Inserted
fl-6.1-structure-673,comment,RAMPP Inserted
fl-6.1-structure-674,comment,RAMPP Inserted
fl-6.1-structure-675,comment,RAMPP Inserted
fl-6.1-structure-676,comment,RAMPP Inserted
fl-6.1-structure-677,comment,RAMPP Inserted
fl-6.1-structure-678,comment,RAMPP Inserted
fl-6.1-structure-679,comment,RAMPP Inserted
fl-6.1-structure-680,comment,RAMPP Inserted
fl-6.1-structure-681,comment,RAMPP Inserted
fl-6.1-structure-682,comment,RAMPP Inserted
fl-6.1-structure-683,comment,RAMPP Inserted
fl-6.1-structure-684,comment,RAMPP Inserted
fl-6.1-structure-685,comment,RAMPP Inserted
fl-6.1-structure-686,comment,RAMPP Inserted
fl-6.1-structure-687,comment,RAMPP Inserted
fl-6.1-structure-688,comment,RAMPP Inserted
fl-6.1-structure-689,comment,RAMPP Inserted
fl-6.1-structure-690,comment,RAMPP Inserted
fl-6.1-structure-691,comment,RAMPP Inserted
fl-6.1-structure-692,comment,RAMPP Inserted
fl-6.1-structure-693,comment,RAMPP Inserted
fl-6.1-structure-694,comment,RAMPP Inserted
fl-6.1-structure-695,comment,RAMPP Inserted
fl-6.1-structure-696,comment,RAMPP Inserted
fl-6.1-structure-697,comment,RAMPP Inserted
fl-6.1-structure-698,comment,RAMPP Inserted
fl-6.1-structure-699,comment,RAMPP Inserted
fl-6.1-structure-700,comment,RAMPP Inserted
fl-6.1-structure-701,comment,RAMPP Inserted
fl-6.1-structure-702,comment,RAMPP Inserted
