curve_id,x,y
fl-4.0-structure-105,-4.0,0.0
fl-4.0-structure-105,-3.0,0.0
fl-4.0-structure-105,-2.0,0.0
fl-4.0-structure-105,-1.0,0.0
fl-4.0-structure-105,0.0,18.0
fl-4.0-structure-105,1.0,22.0
fl-4.0-structure-105,2.0,25.0
fl-4.0-structure-105,3.0,28.0
fl-4.0-structure-105,4.0,30.0
fl-4.0-structure-105,5.0,31.0
fl-4.0-structure-105,6.0,40.0
fl-4.0-structure-105,7.0,43.0
fl-4.0-structure-105,8.0,43.0
fl-4.0-structure-105,9.0,45.0
fl-4.0-structure-105,10.0,46.0
fl-4.0-structure-105,11.0,47.0
fl-4.0-structure-105,12.0,47.0
fl-4.0-structure-105,13.0,49.0
fl-4.0-structure-105,14.0,50.0
fl-4.0-structure-105,15.0,50.0
fl-4.0-structure-105,16.0,50.0
fl-4.0-structure-105,17.0,51.0
fl-4.0-structure-105,18.0,51.0
fl-4.0-structure-105,19.0,52.0
fl-4.0-structure-105,20.0,52.0
fl-4.0-structure-105,21.0,53.0
fl-4.0-structure-105,22.0,53.0
fl-4.0-structure-105,23.0,54.0
fl-4.0-structure-105,24.0,54.0
fl-4.0-structure-106,-4.0,7.0
fl-4.0-structure-106,-3.0,7.0
fl-4.0-structure-106,-2.0,7.0
fl-4.0-structure-106,-1.0,11.0
fl-4.0-structure-106,0.0,17.0
fl-4.0-structure-106,1.0,21.0
fl-4.0-structure-106,2.0,29.0
fl-4.0-structure-106,3.0,34.0
fl-4.0-structure-106,4.0,38.0
fl-4.0-structure-106,5.0,43.0
fl-4.0-structure-106,6.0,50.0
fl-4.0-structure-106,7.0,50.0
fl-4.0-structure-106,8.0,54.0
fl-4.0-structure-106,9.0,55.0
fl-4.0-structure-106,10.0,55.0
fl-4.0-structure-106,11.0,57.0
fl-4.0-structure-106,12.0,58.0
fl-4.0-structure-106,13.0,60.0
fl-4.0-structure-106,14.0,62.0
fl-4.0-structure-106,15.0,63.0
fl-4.0-structure-106,16.0,65.0
fl-4.0-structure-106,17.0,67.0
fl-4.0-structure-106,18.0,69.0
fl-4.0-structure-106,19.0,70.0
fl-4.0-structure-106,20.0,72.0
fl-4.0-structure-106,21.0,74.0
fl-4.0-structure-106,22.0,76.0
fl-4.0-structure-106,23.0,77.0
fl-4.0-structure-106,24.0,79.0
fl-4.0-structure-107,-4.0,0.0
fl-4.0-structure-107,-3.0,0.0
fl-4.0-structure-107,-2.0,0.0
fl-4.0-structure-107,-1.0,0.0
fl-4.0-structure-107,0.0,11.0
fl-4.0-structure-107,1.0,12.0
fl-4.0-structure-107,2.0,14.0
fl-4.0-structure-107,3.0,18.0
fl-4.0-structure-107,4.0,20.0
fl-4.0-structure-107,5.0,22.0
fl-4.0-structure-107,6.0,24.0
fl-4.0-structure-107,7.0,26.0
fl-4.0-structure-107,8.0,30.0
fl-4.0-structure-107,9.0,34.0
fl-4.0-structure-107,10.0,38.0
fl-4.0-structure-107,11.0,39.0
fl-4.0-structure-107,12.0,40.0
fl-4.0-structure-107,13.0,42.0
fl-4.0-structure-107,14.0,43.0
fl-4.0-structure-107,15.0,44.0
fl-4.0-structure-107,16.0,45.0
fl-4.0-structure-107,17.0,47.0
fl-4.0-structure-107,18.0,48.0
fl-4.0-structure-107,19.0,49.0
fl-4.0-structure-107,20.0,50.0
fl-4.0-structure-107,21.0,52.0
fl-4.0-structure-107,22.0,53.0
fl-4.0-structure-107,23.0,54.0
fl-4.0-structure-107,24.0,56.0
fl-4.0-structure-108,-4.0,4.0
fl-4.0-structure-108,-3.0,4.0
fl-4.0-structure-108,-2.0,8.0
fl-4.0-structure-108,-1.0,14.0
fl-4.0-structure-108,0.0,19.0
fl-4.0-structure-108,1.0,21.0
fl-4.0-structure-108,2.0,26.0
fl-4.0-structure-108,3.0,29.0
fl-4.0-structure-108,4.0,34.0
fl-4.0-structure-108,5.0,39.0
fl-4.0-structure-108,6.0,44.0
fl-4.0-structure-108,7.0,50.0
fl-4.0-structure-108,8.0,55.0
fl-4.0-structure-108,9.0,57.0
fl-4.0-structure-108,10.0,59.0
fl-4.0-structure-108,11.0,61.0
fl-4.0-structure-108,12.0,63.0
fl-4.0-structure-108,13.0,65.0
fl-4.0-structure-108,14.0,66.0
fl-4.0-structure-108,15.0,68.0
fl-4.0-structure-108,16.0,69.0
fl-4.0-structure-108,17.0,71.0
fl-4.0-structure-108,18.0,72.0
fl-4.0-structure-108,19.0,74.0
fl-4.0-structure-108,20.0,75.0
fl-4.0-structure-108,21.0,77.0
fl-4.0-structure-108,22.0,79.0
fl-4.0-structure-108,23.0,80.0
fl-4.0-structure-108,24.0,82.0
fl-4.0-structure-109,-4.0,0.0
fl-4.0-structure-109,-3.0,0.0
fl-4.0-structure-109,-2.0,0.0
fl-4.0-structure-109,-1.0,0.0
fl-4.0-structure-109,0.0,5.0
fl-4.0-structure-109,1.0,8.0
fl-4.0-structure-109,2.0,12.0
fl-4.0-structure-109,3.0,17.0
fl-4.0-structure-109,4.0,19.0
fl-4.0-structure-109,5.0,22.0
fl-4.0-structure-109,6.0,24.0
fl-4.0-structure-109,7.0,25.0
fl-4.0-structure-109,8.0,30.0
fl-4.0-structure-109,9.0,35.0
fl-4.0-structure-109,10.0,38.0
fl-4.0-structure-109,11.0,39.0
fl-4.0-structure-109,12.0,40.0
fl-4.0-structure-109,13.0,42.0
fl-4.0-structure-109,14.0,43.0
fl-4.0-structure-109,15.0,44.0
fl-4.0-structure-109,16.0,45.0
fl-4.0-structure-109,17.0,47.0
fl-4.0-structure-109,18.0,48.0
fl-4.0-structure-109,19.0,49.0
fl-4.0-structure-109,20.0,50.0
fl-4.0-structure-109,21.0,52.0
fl-4.0-structure-109,22.0,53.0
fl-4.0-structure-109,23.0,54.0
fl-4.0-structure-109,24.0,56.0
fl-4.0-structure-110,-4.0,3.0
fl-4.0-structure-110,-3.0,3.0
fl-4.0-structure-110,-2.0,6.0
fl-4.0-structure-110,-1.0,10.0
fl-4.0-structure-110,0.0,12.0
fl-4.0-structure-110,1.0,14.0
fl-4.0-structure-110,2.0,20.0
fl-4.0-structure-110,3.0,25.0
fl-4.0-structure-110,4.0,31.0
fl-4.0-structure-110,5.0,36.0
fl-4.0-structure-110,6.0,38.0
fl-4.0-structure-110,7.0,41.0
fl-4.0-structure-110,8.0,44.0
fl-4.0-structure-110,9.0,48.0
fl-4.0-structure-110,10.0,50.0
fl-4.0-structure-110,11.0,52.0
fl-4.0-structure-110,12.0,54.0
fl-4.0-structure-110,13.0,56.0
