occupancy,category,description
AGR1,Agriculture,Agriculture
COM1,Commercial,Retail Trade
COM10,Commercial,Parking
COM2,Commercial,Wholesale Trade
COM3,Commercial,Personal and Repair Services
COM4,Commercial,Professional/Technical Services
COM5,Commercial,Banks
COM6,Commercial,Hospital
COM7,Commercial,Medical Office/Clinic
COM8,Commercial,Entertainment & Recreation
COM9,Commercial,Theaters
EDU1,Education,Grade Schools
EDU2,Education,Colleges/Universities
GOV1,Government,General Services
GOV2,Government,Emergency Response
IND1,Industrial,Heavy
IND2,Industrial,Light
IND3,Industrial,Food/Drugs/Chemicals
IND4,Industrial,Metals/Minerals Processing
IND5,Industrial,High Technology
IND6,Industrial,Construction
REL1,Religion,Churches and Other Non-profit Org.
RES1,Single Family,Single Family Dwelling
RES2,Residential,Manuf.  Housing
RES3A,Residential,Duplex
RES3B,Residential,Triplex / Quads
RES3C,Residential,Multi-dwellings (5 to 9 units)
RES3D,Residential,Multi-dwellings (10 to 19 units)
RES3E,Residential,Multi-dwellings (20 to 49 units)
RES3F,Residential,Multi-dwellings (50+ units)
RES4,Residential,Temporary Lodging
RES5,Residential,Institutional Dormitory
RES6,Residential,Nursing Home
